Algorithm,Hyperparameter,Tuning Range,Best Value
Linear Regression,fit_intercept,Optuna Auto,False
Linear Regression,n_jobs,Optuna Auto,-1
Random Forest,n_estimators,Optuna Auto,300
Random Forest,max_depth,Optuna Auto,
Random Forest,max_features,Optuna Auto,0.42167353123350965
Random Forest,min_samples_split,Optuna Auto,15
Random Forest,min_samples_leaf,Optuna Auto,3
Random Forest,bootstrap,Optuna Auto,True
Random Forest,random_state,Optuna Auto,123
Random Forest,n_jobs,Optuna Auto,-1
XGBoost,n_estimators,Optuna Auto,700
XGBoost,max_depth,Optuna Auto,3
XGBoost,learning_rate,Optuna Auto,0.04422448899653729
XGBoost,subsample,Optuna Auto,0.7127408306758312
XGBoost,colsample_bytree,Optuna Auto,0.7833063475057145
XGBoost,min_child_weight,Optuna Auto,6.738122408794773
XGBoost,gamma,Optuna Auto,0.0404350811844334
XGBoost,reg_alpha,Optuna Auto,0.0004917947864286266
XGBoost,reg_lambda,Optuna Auto,0.002629323649394139
XGBoost,random_state,Optuna Auto,123
XGBoost,n_jobs,Optuna Auto,-1
XGBoost,tree_method,Optuna Auto,hist
XGBoost,verbosity,Optuna Auto,0
LightGBM,n_estimators,Optuna Auto,800
LightGBM,learning_rate,Optuna Auto,0.034900165854445386
LightGBM,num_leaves,Optuna Auto,123
LightGBM,max_depth,Optuna Auto,18
LightGBM,min_child_samples,Optuna Auto,25
LightGBM,subsample,Optuna Auto,0.6499843110559651
LightGBM,colsample_bytree,Optuna Auto,0.9125466392188784
LightGBM,min_split_gain,Optuna Auto,0.1298918911099114
LightGBM,extra_trees,Optuna Auto,False
LightGBM,reg_alpha,Optuna Auto,0.00047510476731048176
LightGBM,reg_lambda,Optuna Auto,3.240308705327319e-06
LightGBM,random_state,Optuna Auto,123
LightGBM,n_jobs,Optuna Auto,-1
LightGBM,verbose,Optuna Auto,-1
CatBoost,iterations,Optuna Auto,800
CatBoost,depth,Optuna Auto,9
CatBoost,learning_rate,Optuna Auto,0.13592888692109337
CatBoost,l2_leaf_reg,Optuna Auto,4.292676834498867
CatBoost,subsample,Optuna Auto,0.9243676060444435
CatBoost,grow_policy,Optuna Auto,Depthwise
CatBoost,random_state,Optuna Auto,123
CatBoost,verbose,Optuna Auto,0
CatBoost,allow_writing_files,Optuna Auto,False
